electoral_district,name,voters,color_id,color
214,Город Санкт-Петербург – Северо-Восточный одномандатный избирательный округ,519170,7,#ffa500
215,Город Санкт-Петербург – Северо-Западный одномандатный избирательный округ,501507,9,#7fff00
216,Город Санкт-Петербург – Центральный одномандатный избирательный округ,439735,10,#00fa9a
217,Город Санкт-Петербург – Юго-Восточный одномандатный избирательный округ,486314,11,#00ffff
218,Город Санкт-Петербург – Южный одномандатный избирательный округ,459042,12,#0000ff
219,Город Севастополь – Севастопольский одномандатный избирательный округ,340171,6,#ff0000
220,Еврейская автономная область – Еврейский одномандатный избирательный округ,118132,12,#0000ff
221,Ненецкий автономный  округ – Ненецкий одномандатный избирательный округ,33992,12,#0000ff
222,Ханты-Мансийский автономный округ – Югра – Ханты-Мансийский одномандатный избирательный округ,544428,11,#00ffff
223,Ханты-Мансийский автономный округ – Югра – Нижневартовский одномандатный избирательный округ,621885,13,#ff00ff
224,Чукотский автономный  округ – Чукотский одномандатный избирательный округ,32801,7,#ffa500
225,Ямало-Ненецкий автономный округ – Ямало-Ненецкий одномандатный избирательный округ,352369,14,#6495ed
